@id	@type	type	route	name	description	from	to	ref	detour
2871	relation	route	detour	U 11 (A 8)				U 11	A 8
3225	relation	route	detour	U 16 (A 8)				U 16	A 8
18386	relation	route	detour	U 9a (A 8)				U 9a	A 8
23144	relation	route	detour	U 14 (A 81)				U 14	A 81
34215	relation	route	detour	U 26 (A 8)				U 26	A 8
36821	relation	route	detour	U 2 (A 6)				U 2	A 6
38697	relation	route	detour	U 16 (A 6)				U 16	A 6
38809	relation	route	detour	U 37 (A 6)				U 37	A 6
49603	relation	route	detour	U 46 (A 67)				U 46	A 67
51315	relation	route	detour					U 78	A 6
53698	relation	route	detour	U 73 (A 61)				U 73	A 61
56234	relation	route	detour	U 68a (A 8)				U 68a	A 8
56238	relation	route	detour	U 2 (A 8)				U 2	A 8
56277	relation	route	detour	U 12a (A 8)				U 12a	A 8
56303	relation	route	detour	U 18 (A 8)				U 18	A 8
56305	relation	route	detour	U 18a (A 8)				U 18a	A 8
56308	relation	route	detour	U 20 (A 8)				U 20	A 8
56309	relation	route	detour	U 20a (A 8)				U 20a	A 8
59890	relation	route	detour	U 4 (A 831)				U 4	A 831
59891	relation	route	detour	U 15 (A 8)				U 15	A 8
59896	relation	route	detour	U 17 (A 8)				U 17	A 8
59906	relation	route	detour	U 23 (A 8)				U 23	A 8
59910	relation	route	detour	U 23a (A 8)				U 23a	A 8
59914	relation	route	detour	U 25 (A 8)				U 25	A 8
59915	relation	route	detour	U 27 (A 8)				U 27	A 8
59924	relation	route	detour	U 29 (A 8)				U 29	A 8
59936	relation	route	detour	U 31 (A 8)				U 31	A 8
59943	relation	route	detour	U 33 (A 8)				U 33	A 8
59964	relation	route	detour	U 35 (A 8)				U 35	A 8
65532	relation	route	detour	U 5 (A 81)				U 5	A 81
65534	relation	route	detour	U 7 (A 81)				U 7	A 81
65536	relation	route	detour	U 9 (A 81)				U 9	A 81
65539	relation	route	detour	U 11 (A 81)				U 11	A 81
65552	relation	route	detour	U 13 (A 81)				U 13	A 81
65555	relation	route	detour	U 15 (A 81)				U 15	A 81
65558	relation	route	detour	U 17 (A 81)				U 17	A 81
65565	relation	route	detour	U 58 (A 6)				U 58	A 6
65575	relation	route	detour	U 75 (A 6)				U 75	A 6
65582	relation	route	detour	U 77 (A 6)				U 77	A 6
65586	relation	route	detour	U 79 (A 6)				U 79	A 6
65590	relation	route	detour	U 83 (A 6)				U 83	A 6
65594	relation	route	detour	U 85 (A 6)				U 85	A 6
65596	relation	route	detour	U 87 (A 6)				U 87	A 6
