@id	@type	type	route	name	description	from	to	ref	detour	status	Länge Teilstücke
2871	relation	route	detour	U 11 (A 8)				U 11	A 8	zusammenhängend	14,341
3225	relation	route	detour	U 16 (A 8)				U 16	A 8	zusammenhängend	7,974
18386	relation	route	detour	U 9a (A 8)				U 9a	A 8	zusammenhängend	11,325
23144	relation	route	detour	U 14 (A 81)				U 14	A 81	zusammenhängend	3,300
34215	relation	route	detour	U 26 (A 8)				U 26	A 8	zusammenhängend	11,861
36821	relation	route	detour	U 2 (A 6)				U 2	A 6	zusammenhängend	10,918
38697	relation	route	detour	U 16 (A 6)				U 16	A 6	zusammenhängend	28,004
38809	relation	route	detour	U 37 (A 6)				U 37	A 6	zusammenhängend	28,384
49603	relation	route	detour	U 46 (A 67)				U 46	A 67	nicht zusammenhängend	19,219	0,668
51315	relation	route	detour					U 78	A 6	nicht zusammenhängend	6,699	5,348
53698	relation	route	detour	U 73 (A 61)				U 73	A 61	zusammenhängend	13,978
56234	relation	route	detour	U 68a (A 8)				U 68a	A 8	zusammenhängend	9,076
56238	relation	route	detour	U 2 (A 8)				U 2	A 8	zusammenhängend	12,198
56277	relation	route	detour	U 12a (A 8)				U 12a	A 8	zusammenhängend	9,419
56303	relation	route	detour	U 18 (A 8)				U 18	A 8	zusammenhängend	3,017
56305	relation	route	detour	U 18a (A 8)				U 18a	A 8	zusammenhängend	6,882
56308	relation	route	detour	U 20 (A 8)				U 20	A 8	zusammenhängend	2,897
56309	relation	route	detour	U 20a (A 8)				U 20a	A 8	zusammenhängend	11,433
59890	relation	route	detour	U 4 (A 831)				U 4	A 831	zusammenhängend	6,165
59891	relation	route	detour	U 15 (A 8)				U 15	A 8	zusammenhängend	12,442
59896	relation	route	detour	U 17 (A 8)				U 17	A 8	zusammenhängend	5,996
59906	relation	route	detour	U 23 (A 8)				U 23	A 8	zusammenhängend	10,547
59910	relation	route	detour	U 23a (A 8)				U 23a	A 8	zusammenhängend	4,918
59914	relation	route	detour	U 25 (A 8)				U 25	A 8	zusammenhängend	10,888
59915	relation	route	detour	U 27 (A 8)				U 27	A 8	zusammenhängend	15,357
59924	relation	route	detour	U 29 (A 8)				U 29	A 8	zusammenhängend	42,790
59936	relation	route	detour	U 31 (A 8)				U 31	A 8	zusammenhängend	23,468
59943	relation	route	detour	U 33 (A 8)				U 33	A 8	zusammenhängend	10,438
59964	relation	route	detour	U 35 (A 8)				U 35	A 8	zusammenhängend	13,265
65532	relation	route	detour	U 5 (A 81)				U 5	A 81	zusammenhängend	9,493
65534	relation	route	detour	U 7 (A 81)				U 7	A 81	zusammenhängend	6,192
65536	relation	route	detour	U 9 (A 81)				U 9	A 81	zusammenhängend	9,413
65539	relation	route	detour	U 11 (A 81)				U 11	A 81	zusammenhängend	12,989
65552	relation	route	detour	U 13 (A 81)				U 13	A 81	zusammenhängend	15,014
